repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
13,no-pause-80,open_loop,80,4076,4075,81.52,17.218747673001417,58.61435567009903,81.74171710609517,106.44938708986592,true
13,no-pause-80,closed_loop,80,3955,3954,79.1,10.052752787327336,21.61588418842075,28.02266494210926,40.91768625834811,true
14,no-pause-80,open_loop,80,3870,3869,77.4,16.006229175698536,47.856318115693284,73.36544504173798,95.3776971184925,true
14,no-pause-80,closed_loop,80,3954,3954,79.08,10.03564939795433,21.794826111574366,31.9119546435104,44.37023951307856,true
15,no-pause-80,open_loop,80,3983,3982,79.66,17.124873615168326,55.178196636283246,106.27977199607267,135.4467466408496,false
15,no-pause-80,closed_loop,80,3959,3958,79.18,10.0579881356025,20.41011186823016,26.983244775743515,38.399553566239774,true
16,no-pause-80,open_loop,80,3933,3928,78.66,16.996192514838185,56.3194754778815,79.59464313704666,108.08161610744719,true
16,no-pause-80,closed_loop,80,3954,3954,79.08,10.131699126184685,21.587953139227466,31.801406761213002,52.40002038795501,true
17,no-pause-80,open_loop,80,3992,3991,79.84,17.451743190838897,58.70709965748392,82.74699066412359,105.85302916895125,true
17,no-pause-80,closed_loop,80,3957,3957,79.14,9.991990517999511,21.387169939400337,28.659953164387844,44.75675051428698,true
18,no-pause-80,open_loop,80,3958,3952,79.16,16.663030377552786,47.824650700327766,63.65876132047197,79.64328105666937,true
18,no-pause-80,closed_loop,80,3955,3954,79.1,10.186423686631315,21.667929018778523,29.3843927854723,48.24957355265724,true
19,no-pause-80,open_loop,80,4091,4085,81.82,18.057844370581734,57.7966203577671,77.29969427247852,105.57496628694207,true
19,no-pause-80,closed_loop,80,3957,3955,79.14,9.993327205927926,21.04609576245639,29.75064393403227,45.60944068636309,true
20,no-pause-80,open_loop,80,4015,4015,80.3,17.34581899945624,58.286993622474256,94.20226756890406,134.91720814429755,true
20,no-pause-80,closed_loop,80,3955,3954,79.1,10.177947363416024,21.519900239243725,28.348231484564167,42.02457163681538,true
21,no-pause-80,open_loop,80,4002,4001,80.04,17.882633181099663,56.92478841544289,85.28875112300011,111.47571283750585,true
21,no-pause-80,closed_loop,80,3952,3951,79.04,10.258159907272784,21.52565556989066,29.360767191348714,43.20460852981341,true
22,no-pause-80,open_loop,80,4042,4042,80.84,18.379089684589417,61.95947957653698,86.98264294782712,125.66116793648325,true
22,no-pause-80,closed_loop,80,3947,3947,78.94,10.385885618168686,22.343583168931218,29.71716948156609,56.50609479003833,true
23,no-pause-80,open_loop,80,3982,3981,79.64,16.64047560972176,60.34248745564037,86.14373691619767,114.90354304142966,true
23,no-pause-80,closed_loop,80,3957,3955,79.14,10.24846693634754,20.72496047274035,26.166944965756556,34.39924296357458,true
24,no-pause-80,open_loop,80,4001,3998,80.02,17.281786346273293,55.374946016225294,77.1571591071679,104.92550706687143,true
24,no-pause-80,closed_loop,80,3953,3952,79.06,10.117697263194714,21.51098217850813,28.262578658373968,45.5831334808463,true
25,no-pause-80,open_loop,80,4026,4024,80.52,16.711680030122807,51.178063291095896,72.06168699079535,93.16147808057212,true
25,no-pause-80,closed_loop,80,3958,3958,79.16,10.02950334356865,20.364924909055844,27.497667754942086,38.829959877140936,true
26,no-pause-80,open_loop,80,3899,3890,77.98,16.08037001306002,52.47780197121028,83.64725735803586,117.05628163640722,true
26,no-pause-80,closed_loop,80,3959,3958,79.18,10.124548967894953,20.434299730133716,25.465305923913547,33.99000685965075,true
27,no-pause-80,open_loop,80,4086,4086,81.72,17.963748449437844,62.09288693856797,86.24482186964451,119.9207379838299,true
27,no-pause-80,closed_loop,80,3953,3952,79.06,10.192241036616906,20.577762077802618,28.414516929326055,45.761272574316536,true
