workload,rate,repeat,requests,mean_tokens,p50_tokens,p95_tokens,p99_tokens,long_fraction
heavy-tail,4,32,1239,884.0209846650524,283,4474,6884,0.19289749798224373
heavy-tail,4,33,1186,893.2487352445194,283,4172,7324,0.18802698145025296
heavy-tail,4,34,1182,940.1243654822335,290,4424,7490,0.20304568527918782
heavy-tail,4,35,1230,942.3235772357724,286,4697,8000,0.19593495934959348
heavy-tail,4,36,1200,919.9408333333333,298,4827,7729,0.19916666666666666
heavy-tail,4,37,1181,902.9026248941575,278,4520,8000,0.18289585097375105
heavy-tail,4,38,1159,882.6134598792062,287,4278,7109,0.19413287316652286
heavy-tail,4,39,1201,969.0474604496253,282,4602,7332,0.2189841798501249
heavy-tail,4,40,1184,857.8673986486486,281,4356,6763,0.17989864864864866
heavy-tail,4,41,1212,904.8820132013201,282,4518,8000,0.18564356435643564
heavy-tail,4,42,1236,1003.088996763754,297,4557,8000,0.21925566343042072
heavy-tail,4,43,1216,956.1225328947369,279,5041,8000,0.19901315789473684
heavy-tail,4,44,1233,971.4444444444445,305,4889,8000,0.19708029197080293
heavy-tail,4,45,1263,954.9097387173397,287,4735,7884,0.19714964370546317
heavy-tail,4,46,1229,928.853539462978,287,4397,8000,0.20585842148087877
heavy-tail,4,47,1179,893.7362171331637,287,4401,8000,0.179813401187447
heavy-tail,4,48,1169,957.6090675791274,302,4887,7752,0.19674935842600513
heavy-tail,4,49,1236,872.8211974110033,281,4365,7512,0.18122977346278318
heavy-tail,4,50,1201,957.1515403830142,290,4532,8000,0.20233139050791007
heavy-tail,4,51,1180,958.6466101694915,288,4767,8000,0.20508474576271185
heavy-tail,4,52,1153,982.7779705117085,283,4814,8000,0.21075455333911536
heavy-tail,4,53,1240,882.5459677419354,275,4573,7572,0.1814516129032258
heavy-tail,4,54,1170,928.3623931623931,294,4517,6945,0.20341880341880342
heavy-tail,4,55,1161,1045.851851851852,300,4957,8000,0.223083548664944
heavy-tail,4,56,1159,904.4918032786885,276,4478,7280,0.1915444348576359
heavy-tail,4,57,1261,992.2204599524188,286,4840,7921,0.21570182394924664
heavy-tail,4,58,1202,978.5540765391015,273,4680,8000,0.20632279534109818
heavy-tail,4,59,1195,914.7832635983264,292,4624,7264,0.19497907949790794
heavy-tail,4,60,1197,883.8613199665831,289,4546,7398,0.1796157059314954
heavy-tail,4,61,1166,956.9605488850772,299,4604,7787,0.20668953687821612
heavy-tail,4,62,1230,927.1040650406504,280,4590,8000,0.1886178861788618
heavy-tail,4,63,1237,895.1665319320938,269,4507,8000,0.1883589329021827
heavy-tail,4,64,1278,982.481220657277,281,4920,8000,0.20579029733959311
heavy-tail,4,65,1201,856.1465445462115,277,4351,7109,0.18151540383014156
heavy-tail,4,66,1120,979.3553571428571,291,4762,8000,0.2017857142857143
heavy-tail,4,67,1174,995.0775127768313,285,4937,8000,0.20868824531516184
heavy-tail,4,68,1177,942.1206457094307,288,4361,8000,0.1937128292268479
heavy-tail,4,69,1229,995.4678600488202,292,5017,8000,0.2082994304312449
heavy-tail,4,70,1183,913.4327979712596,280,4682,7581,0.19357565511411665
heavy-tail,4,71,1193,956.6169321039397,289,4626,8000,0.19865884325230512
heavy-tail,4,72,1160,928.4310344827586,281,4574,8000,0.1896551724137931
heavy-tail,4,73,1195,1006.4995815899582,305,4651,7028,0.23263598326359833
heavy-tail,4,74,1183,951.7016060862214,290,4713,8000,0.19864750633981404
heavy-tail,4,75,1199,993.5529608006673,291,4722,8000,0.213511259382819
heavy-tail,4,76,1238,1006.5153473344103,296,4681,8000,0.21647819063004847
heavy-tail,4,77,1185,934.5890295358649,291,4727,8000,0.19324894514767932
heavy-tail,4,78,1248,927.8565705128206,286,4454,7487,0.19791666666666666
heavy-tail,4,79,1169,1007.0881094952952,285,4824,8000,0.20444824636441403
heavy-tail,5.5,0,1679,950.4883859440143,285,4820,7506,0.197736748064324
heavy-tail,5.5,1,1585,1032.5242902208201,294,4892,8000,0.21829652996845425
heavy-tail,5.5,2,1676,971.1360381861575,285,4728,8000,0.20047732696897375
heavy-tail,5.5,3,1664,949.1778846153846,291,4632,7857,0.19771634615384615
heavy-tail,5.5,4,1581,1014.43706514864,291,4665,8000,0.2232764073371284
heavy-tail,5.5,5,1680,951.175,282,4788,8000,0.18928571428571428
heavy-tail,5.5,6,1643,974.7924528301887,283,4714,8000,0.2087644552647596
heavy-tail,5.5,7,1656,994.838768115942,284,4831,8000,0.2071256038647343
heavy-tail,5.5,8,1672,905.6788277511962,286,4491,7265,0.19557416267942584
heavy-tail,5.5,9,1593,928.4927809165097,285,4576,8000,0.19648462021343377
heavy-tail,5.5,10,1613,947.2876627402355,287,4727,8000,0.2033477991320521
