repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
75,no-pause-80,closed_loop,80,3956,3955,79.12,10.148879365464381,20.873583712433174,28.278328251602943,39.1460907792989,true
76,no-pause-80,open_loop,80,4000,3999,80,8.817532800523622,16.60514744968168,21.744773173631984,33.663594376172114,true
76,no-pause-80,closed_loop,80,3960,3959,79.2,10.024346604914172,20.82653581285558,27.47290004578099,43.03636033570365,true
77,no-pause-80,open_loop,80,4000,4000,80,8.88766974205646,16.684906307076744,22.00921289786129,34.30152770389395,true
77,no-pause-80,closed_loop,80,3956,3955,79.12,10.03416399717753,21.83615563494095,29.08798053186183,44.338584349141456,true
78,no-pause-80,open_loop,80,4000,3999,80,8.91097754209477,16.420231263266032,22.170146858396038,36.32954465749026,true
78,no-pause-80,closed_loop,80,3955,3954,79.1,10.066282280211453,22.227960185284246,28.82761219337408,42.51513779615925,true
79,no-pause-80,open_loop,80,4000,3999,80,8.997609528551038,16.332932850942598,20.326985945728666,30.33111857221229,true
79,no-pause-80,closed_loop,80,3947,3946,78.94,10.233101029101817,22.172649258391175,30.63101111760625,60.741676197663764,true
80,no-pause-80,open_loop,80,4000,3999,80,9.01897609329535,16.649103284071316,21.785138962857673,38.099359555861156,true
80,no-pause-80,closed_loop,80,3955,3955,79.1,10.127649775486134,21.179090076402645,26.63629426141415,39.18259581114762,true
81,no-pause-80,open_loop,80,4000,4000,80,9.033384299294994,16.89875036374724,21.890204568204354,30.739038683132094,true
81,no-pause-80,closed_loop,80,3954,3954,79.08,10.251806417240005,20.995357600200805,27.507556465207017,48.95420511471457,true
82,no-pause-80,open_loop,80,4000,3999,80,8.947620204377017,16.48291282646096,21.18364690857925,36.2964867479277,true
82,no-pause-80,closed_loop,80,3950,3949,79,10.373991379085055,21.395803567367693,30.876974169323148,55.60104616782337,true
83,no-pause-80,open_loop,80,4000,4000,80,8.877856489540136,17.478937681102252,25.603750030459196,52.08010320059111,true
83,no-pause-80,closed_loop,80,3960,3958,79.2,10.00626398903114,20.45120267339371,27.96930906081252,43.09432512992498,true
84,no-pause-80,open_loop,80,4000,3999,80,9.003529302637617,17.04068422113778,21.901635606722266,30.71839206013101,true
84,no-pause-80,closed_loop,80,3953,3952,79.06,10.171755123199546,21.352344922393968,28.802776264186832,41.91835137621456,true
85,no-pause-80,open_loop,80,4000,4000,80,8.938044548631296,16.78638578436221,22.379797288442205,34.671885610034224,true
85,no-pause-80,closed_loop,80,3957,3956,79.14,9.999214931456663,21.519322518041008,29.515837807521166,41.998382805461006,true
86,no-pause-80,open_loop,80,4000,4000,80,8.895912853331538,16.77956421844283,22.693556614867703,32.10210901049504,true
86,no-pause-80,closed_loop,80,3949,3949,78.98,10.434820006761583,22.262341182213277,29.87629325027956,47.710945509265,true
87,no-pause-80,open_loop,80,4000,3999,80,8.956634203437716,16.53190638091837,21.454568676275812,32.306628801012266,true
87,no-pause-80,closed_loop,80,3955,3955,79.1,10.061861015172326,21.203433416769258,28.94356180050454,45.178640957703465,true
88,no-pause-80,open_loop,80,4000,4000,80,8.801234361477327,16.289412423640897,21.036885378081934,32.665021783777775,true
88,no-pause-80,closed_loop,80,3947,3946,78.94,10.362669492453279,22.597336884728065,28.79111029715932,39.03816067365551,true
89,no-pause-80,open_loop,80,4000,3999,80,8.8505468667463,16.251407509647834,21.114589361728576,34.73475058103213,true
89,no-pause-80,closed_loop,80,3951,3951,79.02,10.281332122161984,21.887097803888537,28.634948092621926,43.13791798964485,true
90,no-pause-80,open_loop,80,4000,4000,80,8.936978820922377,16.544568840483407,21.218325535133772,32.559456437953486,true
90,no-pause-80,closed_loop,80,3959,3956,79.18,9.989148306543939,21.418968543061055,28.599675132503762,45.40309052075827,true
91,no-pause-80,open_loop,80,4000,3999,80,8.769027178204851,16.29128446215327,20.48061465518913,30.65515403417521,true
91,no-pause-80,closed_loop,80,3959,3959,79.18,9.884537290134176,20.39997246825442,26.73589141849334,44.1364188145526,true
92,no-pause-80,open_loop,80,4000,3999,80,9.073320200499438,17.092554252438276,23.675056989555742,40.1242876355027,true
92,no-pause-80,closed_loop,80,3953,3951,79.06,10.21517466932346,22.092299162763084,28.786073021976335,49.667060293060786,true
93,no-pause-80,open_loop,80,4000,4000,80,8.906143953638093,16.830534374654235,21.805376636730216,36.31748852155579,true
93,no-pause-80,closed_loop,80,3957,3956,79.14,10.046448864828562,21.096489164061495,30.762876406588475,40.87613073843386,true
94,no-pause-80,open_loop,80,4000,3999,80,8.886387455000659,16.380923222717684,20.78802837735566,35.01083665472106,true
94,no-pause-80,closed_loop,80,3959,3958,79.18,9.97176846331422,20.371796144831023,27.287057664121676,40.39996409321611,true
95,no-pause-80,open_loop,80,4000,3999,80,8.73313360800239,15.945521999994526,20.984981661953498,37.418162888752704,true
95,no-pause-80,closed_loop,80,3959,3957,79.18,9.95021555061976,21.214320049963135,28.550691289026872,45.08000144644757,true
96,no-pause-80,open_loop,80,4000,4000,80,8.827296569437749,16.322386295003525,21.872062247930444,31.646442323399242,true
96,no-pause-80,closed_loop,80,3958,3957,79.16,10.152196621056646,20.427496249638352,25.496106046357454,37.8059230623694,true
97,no-pause-80,open_loop,80,4000,3999,80,9.029724985401117,16.639840297248156,22.583054948037898,33.37139478217432,true
97,no-pause-80,closed_loop,80,3954,3953,79.08,10.195351279740862,21.597156812807953,28.331271087223286,38.97413104365114,true
98,no-pause-80,open_loop,80,4000,3999,80,8.958779670880176,16.66370803204336,22.133468017855193,30.539382176273648,true
98,no-pause-80,closed_loop,80,3954,3953,79.08,10.133446173571429,21.553183523134066,27.6749037569316,42.614605056482105,true
99,no-pause-80,open_loop,80,4000,3999,80,8.87313123349304,16.616082120959618,21.26595901203109,35.67601761185506,true
99,no-pause-80,closed_loop,80,3953,3953,79.06,10.257292135618627,21.76777816876711,29.192765981562843,38.24523057249462,true
100,no-pause-80,open_loop,80,4000,3999,80,8.921387009053433,16.595209342223825,21.315831725765747,33.14367007914552,true
100,no-pause-80,closed_loop,80,3962,3961,79.24,10.025133285598713,19.91203658271843,27.392754076834535,37.220730217748496,true
101,no-pause-80,open_loop,80,4000,3999,80,8.88088658988272,17.05433944845572,22.355544692218245,32.905609418594395,true
101,no-pause-80,closed_loop,80,3944,3942,78.88,10.382973057749041,23.59171960074673,32.0852428010985,46.84431319023133,true
102,no-pause-80,open_loop,80,4000,3999,80,8.804100851861222,16.06824385395157,20.865396447283274,29.196321473800708,true
102,no-pause-80,closed_loop,80,3947,3947,78.94,10.172577189019648,23.17568406375358,32.32809360610918,47.48078283592258,true
103,no-pause-80,open_loop,80,4000,3999,80,8.895950026992068,16.762675175974437,21.52354509788711,48.11817051709659,true
103,no-pause-80,closed_loop,80,3955,3954,79.1,10.172598136166926,20.939782752204337,29.323373086561332,56.61399912365232,true
104,no-pause-80,open_loop,80,4000,4000,80,8.890892229374003,16.458127529316698,21.224277087909286,35.52971822298423,true
104,no-pause-80,closed_loop,80,3957,3955,79.14,9.949451156222494,21.254051427233208,28.522755835008866,44.15795041258025,true
105,no-pause-80,open_loop,80,4000,3999,80,8.804612571744656,16.37096954968729,21.41201325639122,30.060982931121544,true
105,no-pause-80,closed_loop,80,3952,3950,79.04,10.228734471369535,21.68811501131131,30.410645648589707,40.83438733982621,true
106,no-pause-80,open_loop,80,4000,3999,80,8.758691529132193,15.804268731360935,20.091080073543708,26.362032039032783,true
106,no-pause-80,closed_loop,80,3954,3954,79.08,10.02587588877941,21.69456059870936,28.775877929125272,45.89401210628421,true
