model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,18,b8-2ms,88.32,0,8.400000000001455,12.493573187202855,13.263272551965201,1,1.217111315547378
batch-efficient,poisson,90,18,b8-5ms,88.32,0,11.400000000001455,12.513702222018765,13.367908953718143,1,1.3600616808018504
batch-efficient,poisson,90,18,b16-5ms,88.32,0,11.400000000001455,12.513702222018765,13.367908953718143,1,1.3600616808018504
batch-efficient,poisson,90,18,b16-10ms,88.32,0,12.792880460998276,17.485042515272653,17.941887789405882,1,1.6213235294117647
batch-efficient,poisson,90,19,single,91.32,0,8.427941381332857,23.97879401273167,34.09665432255133,0.9568550153307052,1
batch-efficient,poisson,90,19,b4-now,91.32,0,6.759656960282882,12.559788514259708,13.402186854797037,1,1.1433060967944688
batch-efficient,poisson,90,19,b4-2ms,91.32,0,8.400000000001455,12.591707706815214,13.48440416064841,1,1.2521798990362552
batch-efficient,poisson,90,19,b8-2ms,91.32,0,8.400000000001455,12.580519482173258,13.427534069101966,1,1.2524672940096397
batch-efficient,poisson,90,19,b8-5ms,91.32,0,11.400000000001455,12.746058946286212,13.682136226787406,1,1.4046332046332046
batch-efficient,poisson,90,19,b16-5ms,91.32,0,11.400000000001455,12.746058946286212,13.682136226787406,1,1.4046332046332046
batch-efficient,poisson,90,19,b16-10ms,91.32,0,12.93367784484144,17.48504251527629,17.941887789405882,1,1.6576549210206561
batch-efficient,poisson,90,20,single,88.88,0,8.270702381876617,23.912295577087207,38.510247847720166,0.9545454545454546,1
batch-efficient,poisson,90,20,b4-now,88.88,0,6.700167135702941,12.602783214046212,13.517359444776957,1,1.1410779471762937
batch-efficient,poisson,90,20,b4-2ms,88.88,0,8.400000000001455,12.634812337113544,13.621478880231734,1,1.239561464893865
batch-efficient,poisson,90,20,b8-2ms,88.88,0,8.400000000001455,12.617132410101476,13.604694250294415,1,1.2404295051353875
batch-efficient,poisson,90,20,b8-5ms,88.88,0,11.400000000001455,12.639119589563052,13.510483135163668,1,1.3827738745771532
batch-efficient,poisson,90,20,b16-5ms,88.88,0,11.400000000001455,12.639119589563052,13.510483135163668,1,1.3827738745771532
batch-efficient,poisson,90,20,b16-10ms,88.88,0,12.997724633853068,17.48504251527629,17.941887789405882,1,1.6381011097410605
batch-efficient,poisson,90,21,single,90.76,0,8.34029639694927,23.260257566682412,34.67784499425761,0.9620978404583517,1
batch-efficient,poisson,90,21,b4-now,90.76,0,6.643278032079252,12.553834387028473,13.354205446292326,1,1.1436371272574548
batch-efficient,poisson,90,21,b4-2ms,90.76,0,8.400000000001455,12.556829202374502,13.403586806474777,1,1.2482236992894797
batch-efficient,poisson,90,21,b8-2ms,90.76,0,8.400000000001455,12.55460538178886,13.403586806474777,1,1.2485098578633653
batch-efficient,poisson,90,21,b8-5ms,90.76,0,11.400000000001455,12.69835751199571,13.693091322831606,1,1.4057821373257615
batch-efficient,poisson,90,21,b16-5ms,90.76,0,11.400000000001455,12.69835751199571,13.693091322831606,1,1.4057821373257615
batch-efficient,poisson,90,21,b16-10ms,90.76,0,12.936562236624013,17.48504251527629,17.941887789405882,1,1.6548161652993012
batch-efficient,poisson,90,22,single,90.66,0,8.503004044454428,22.512747311237035,31.699519107256492,0.9693359805868078,1
batch-efficient,poisson,90,22,b4-now,90.66,0,6.5986801274575555,12.641425785112006,13.424915573214093,1,1.148864592094197
