repeat,condition,endpoint,deadline,successRate,completedOnlyP95,deadlineAwareP95,latentP95,restrictedMean,timeoutRate
14,no_tail_control,fast_spiky,16,1,1.2484036229010123,1.2484036229010123,1.2484036229010123,0.9184078938255945,0
15,main,steady,2,0.8094,1.9302411012590743,2,2.4209950248074974,1.5951506113635638,0.1906
15,main,fast_spiky,2,0.9338,1.2526201011305245,2,10.065008896826392,0.9902775074398518,0.06620000000000004
15,no_tail_control,fast_spiky,2,1,1.253549941287258,1.253549941287258,1.253549941287258,0.9193566613242691,0
15,main,steady,4,1,2.4209950248074974,2.4209950248074974,2.4209950248074974,1.6532330088926421,0
15,main,fast_spiky,4,0.9338,1.2526201011305245,4,10.065008896826392,1.1226775074398514,0.06620000000000004
15,no_tail_control,fast_spiky,4,1,1.253549941287258,1.253549941287258,1.253549941287258,0.9193566613242691,0
15,main,steady,8,1,2.4209950248074974,2.4209950248074974,2.4209950248074974,1.6532330088926421,0
15,main,fast_spiky,8,0.9378,1.2625582742173462,8,10.065008896826392,1.3839196823650972,0.06220000000000003
15,no_tail_control,fast_spiky,8,1,1.253549941287258,1.253549941287258,1.253549941287258,0.9193566613242691,0
15,main,steady,16,1,2.4209950248074974,2.4209950248074974,2.4209950248074974,1.6532330088926421,0
15,main,fast_spiky,16,0.9928,9.223941640849874,10.065008896826392,10.065008896826392,1.6519889077368284,0.007199999999999984
15,no_tail_control,fast_spiky,16,1,1.253549941287258,1.253549941287258,1.253549941287258,0.9193566613242691,0
16,main,steady,2,0.8144,1.9315241800722036,2,2.4375583216989924,1.5930259341286794,0.1856
16,main,fast_spiky,2,0.942,1.2611177706062744,2,9.397597298557123,0.982068922198242,0.05800000000000005
16,no_tail_control,fast_spiky,2,1,1.2604062143018098,1.2604062143018098,1.2604062143018098,0.9200582648975968,0
16,main,steady,4,0.9998,2.4375583216989924,2.4375583216989924,2.4375583216989924,1.655290644919852,0.00019999999999997797
16,main,fast_spiky,4,0.942,1.2611177706062744,4,9.397597298557123,1.0980689221982414,0.05800000000000005
16,no_tail_control,fast_spiky,4,1,1.2604062143018098,1.2604062143018098,1.2604062143018098,0.9200582648975968,0
16,main,steady,8,1,2.4375583216989924,2.4375583216989924,2.4375583216989924,1.6553157153631444,0
16,main,fast_spiky,8,0.9446,1.2700202725934253,8,9.397597298557123,1.328105976244707,0.055400000000000005
16,no_tail_control,fast_spiky,8,1,1.2604062143018098,1.2604062143018098,1.2604062143018098,0.9200582648975968,0
16,main,steady,16,1,2.4375583216989924,2.4375583216989924,2.4375583216989924,1.6553157153631444,0
16,main,fast_spiky,16,0.9926,7.463795178779966,9.397597298557123,9.397597298557123,1.5693951984182208,0.007399999999999962
16,no_tail_control,fast_spiky,16,1,1.2604062143018098,1.2604062143018098,1.2604062143018098,0.9200582648975968,0
17,main,steady,2,0.8114,1.931762912532536,2,2.4170254044957424,1.595528522845877,0.1886
