scenario,repeat,policy,allCoverage,allMeanWidth,routineCoverage,routineMeanWidth,criticalCoverage,criticalMeanWidth,coverageGap,criticalCount
exchangeable_rare_noisy,36,max_slice,0.9940833333333333,4.827601791781978,1,4.827601791782005,0.8841761827079935,4.827601791782982,0.11582381729200653,613
exchangeable_rare_noisy,36,oracle_normalized,0.9006666666666666,1.8313218144107872,0.9010274874857294,1.6615652330963075,0.8939641109298532,4.984695699289536,0.0070633765558761885,613
exchangeable_rare_noisy,37,pooled,0.8954166666666666,1.7405967927079264,0.9189946580260968,1.7405967927079253,0.43201376936316693,1.7405967927077484,0.4869808886629299,581
exchangeable_rare_noisy,37,pooled_95,0.9431666666666667,2.094741145486021,0.9640949295034591,2.0947411454859606,0.53184165232358,2.094741145485409,0.43225327717987905,581
exchangeable_rare_noisy,37,mondrian,0.89875,1.787225459547034,0.8981522024695683,1.6298090865880757,0.9104991394148021,4.881093898129125,-0.01234693694523381,581
exchangeable_rare_noisy,37,max_slice,0.9956666666666667,4.88109389812792,1,4.881093898128019,0.9104991394148021,4.881093898129125,0.0895008605851979,581
exchangeable_rare_noisy,37,oracle_normalized,0.8983333333333333,1.7845821635328023,0.8977143357561959,1.6270312993765161,0.9104991394148021,4.881093898129125,-0.012784803658606236,581
exchangeable_rare_noisy,38,pooled,0.8979166666666667,1.7579991147216516,0.9242943814297019,1.75799911472167,0.4194577352472089,1.7579991147220972,0.5048366461824929,627
exchangeable_rare_noisy,38,pooled_95,0.9506666666666667,2.235118120902507,0.9762595621208124,2.235118120902565,0.4864433811802233,2.235118120902908,0.48981618094058915,627
exchangeable_rare_noisy,38,mondrian,0.901,1.8222675614780202,0.9014332190275213,1.6427935838149597,0.8931419457735247,5.07770224722347,0.00829127325399659,627
exchangeable_rare_noisy,38,max_slice,0.9944166666666666,5.07770224722441,1,5.077702247224389,0.8931419457735247,5.07770224722347,0.10685805422647532,627
exchangeable_rare_noisy,38,oracle_normalized,0.9004166666666666,1.8144655133236458,0.9014332190275213,1.6427935838149597,0.8819776714513556,4.928380751445767,0.019455547576165633,627
exchangeable_rare_noisy,39,pooled,0.9026666666666666,1.8049304947674403,0.9262632454680795,1.8049304947674536,0.4388984509466437,1.804930494767736,0.4873647945214358,581
exchangeable_rare_noisy,39,pooled_95,0.9563333333333334,2.253239032718659,0.9765303441632367,2.2532390327187013,0.5593803786574871,2.2532390327188097,0.41714996550574956,581
